"ผิวดีคลีนิค สาขาเซ็นทรัลลาดพร้าว"
"code","name","unit","price","IN Com","In Stock"," +-"
"DRG190","Acne Wash","ขวด","370","1"," "," "
"DG141","BV","หลอด","150","0"," "," "
"DG107","Ezera-S","กระปุก","310","0"," "," "
"DRG183","Gluta plus","ขวด","650","0"," "," "
"DG110","H2O/Cleansind Water","ขวด","210","12"," "," "
"DRG186","Juvedrem volbella","หลอด","0","2"," "," "
"DRG196","keto shampoo nizoral","ขวด","100","34"," "," "
"DRG197","magic white plus","หลอด","550","11"," "," "
"DRG191","melablock 3","หลอด","470","5"," "," "
"DG136","RBL/Rebalance","หลอด","220","26"," "," "
"DRG189","Restylane Vital","หลอด","0","1"," "," "
"DG112","SB 60 PA   ","หลอด","270","0"," "," "
"DG108","Scagel - S","หลอด","210","0"," "," "
"DG109","SKIN THEORY","ขวด","2900","3"," "," "
"DG129","Skin Theory 50 ml","ขวด","1800","0"," "," "
"DG131","Skin Theory กันแดด","หลอด","900","0"," "," "
"DG130","Skin Theory ครีม","กล่อง","1800","0"," "," "
"DG132","Skin Theory โฟมล้างหน้า","หลอด","530","0"," "," "
"DG113","stem cell","ขวด","1260","27"," "," "
"DG105","Terramycin","หลอด","90","27"," "," "
"DG122","Urea 10% in Clobet","ขวด","15","150"," "," "
"DG128","VIT E","ขวด","3","5"," "," "
"XG042","หมวก UV 100","ใบ","990","8"," "," "
"DRG184","Allergan","ขวด","0","0"," "," "
"LRG1016","Botox ","unit","0","0"," "," "
"LRG1000","Botox Bottle เปิดขวดใหม่","ขวด","0","16"," "," "
"DRG185","Dermavise","หลอด","0","0"," "," "
"LRG1001","Dysport Bottle   ","ขวด","0","7"," "," "
"DRG193","Filler","หลอด","0","0"," "," "
"LRG1003","juvederm ","หลอด","0","3"," "," "
"LRG1004","Juvederm ultraPlus ","หลอด","0","7"," "," "
"DG137","Juvederm Voluma","หลอด","0","1"," "," "
"LRG1014","Modelis Shape (MS)","","0","0"," "," "
"LRG1015","Restylane 0.5ml Box","หลอด","0","0"," "," "
"LRG1002","Restylane 1.0ml Box","หลอด","0","0"," "," "
"DRG188","Restylane vital light","หลอด","0","0"," "," "
"DRG195","Restylane(lidocaine)","หลอด","0","2"," "," "
"DRG194","Restylaneperlane","หลอด","0","0"," "," "
"DG138","SRS","ขวด","0","6"," "," "
"LRG1008","หัว Golden Smooth (SEM) Tips","ขวด","0","0"," "," "
"LRG1005","หัว Thermage Tips","ขวด","0","0"," "," "
"LRG1006","หัว Ulthera3 Tips","ขวด","0","0"," "," "
"LRG1007","หัว Ulthera4.5 Tips","ขวด","0","0"," "," "
"DG083","Amoxycillin","เม็ด","9","94"," "," "
"DG084","Atarax / Hydorxycin","เม็ด","22","833"," "," "
"DG085","Bio-Carnitine  สีฟ้า ( ลดความอ้วน )","กล่อง","1295","0"," "," "
"DG086","Bio-Pycnogenol  สีเขียว ( ลดฝ้า )","กล่อง","2750","0"," "," "
"DG087","Bios Life Sx (อาหารเสริม)","กล่อง","3563","0"," "," "
"DG088","BX-ยาลดน้ำหนัก","เม็ด","75","0"," "," "
"DG114","CMD","เม็ด","4","0"," "," "
"DG115","Diclocil 250 mg.","เม็ด","13","504"," "," "
"DG089","Diclocil 500 mg.","เม็ด","13","56"," "," "
"DG090","Doxycillin","เม็ด","9","64"," "," "
"DG116","Erythromycin","เม็ด","6","576"," "," "
"DG127","Firide","เม็ด","20","10"," "," "
"DG111","ISO","เม็ด","26","0"," "," "
"DG091","Ja Cap","เม็ด","8","839"," "," "
"DG092","Lorciduin ","เม็ด","9","62"," "," "
"DG093","Minocin","เม็ด","20","144"," "," "
"DG094","Prednisone","เม็ด","4","1109"," "," "
"DG117","Propesia","เม็ด","11","0"," "," "
"DG095","Roac -10mg","เม็ด","52","41"," "," "
"DG096","Roac -20mg","เม็ด","75","14"," "," "
"DG097","Spazol","เม็ด","39","36"," "," "
"DG098","SVD / Servodox","เม็ด","11","162"," "," "
"DG099","TX transmix","เม็ด","4","430"," "," "
"DG100","Vilerm -400mg","ตลับ","20","70"," "," "
"DG101","Vilerm -800mg","ตลับ","44","0"," "," "
"DG102","VIT A","เม็ด","3","0"," "," "
"DG103","VIT C","ขวด","1","3"," "," "
"DG104","zytec","เม็ด","13","140"," "," "
"DG001","2% HC ","กรัม","11","50"," "," "
"DG002","AS 100 gel","ตลับ","110","75"," "," "
"DG003","AS 25 gel","ตลับ","90","17"," "," "
"DG004","AS 50 gel","ตลับ","90","4"," "," "
"DG118","BET","กรัม","15","0"," "," "
"DG119","Canesten ","กรัม","15","485"," "," "
"DG005","Clobet ","ตลับ","11","300"," "," "
"DG006","Derma cream ","กรัม","11","420"," "," "
"DG120","Dermavat","กรัม","20","0"," "," "
"DG007","Dermovate cream ","กรัม","20","935"," "," "
"DG008","Dermovate oint ","กรัม","20","765"," "," "
"DG121","DS / Diprosalic ","กรัม","20","45"," "," "
"DG009","DT / Dermatop ","กรัม","20","305"," "," "
"DG106","ESP / Esperson","กรัม","15","330"," "," "
"DG010","Flu o","กรัม","11","490"," "," "
"DG011","Fucidin cream ","กรัม","20","845"," "," "
"DG012","Fucidin oint ","กรัม","20","91"," "," "
"DG013","Keto cream ","กรัม","20","360"," "," "
"DG123","Ptocort","กรัม","20","145"," "," "
"DG014","TA 0.02/ AA 0.02 -5gm","ตลับ","55","218"," "," "
"DG015","TA 0.1 -5gm","ตลับ","55","283"," "," "
"DG016","TC / Topicort","กรัม","20","255"," "," "
"DG017","UREA 10%","กรัม","4","505"," "," "
"DG018","UREA 10% in0.02","กรัม","15","510"," "," "
"DG019","UREA 10% inTA0.1","กรัม","15","270"," "," "
"DG020","A Soap","ขวด","210","40"," "," "
"DG021","Acnaid","หลอด","170","80"," "," "
"DG022","Acnotin / ISO -10mg","ตลับ","26","67"," "," "
"DG023","AD Serum Multivital","ขวด","520","23"," "," "
"DG024","ADP","ตลับ","250","40"," "," "
"DG025","Age Defense","ขวด","840","6"," "," "
"DG026","Age DNA","ขวด","950","111"," "," "
"DG027","AL","ขวด","90","131"," "," "
"DG028","Anti Bag","กระปุก","370","5"," "," "
"DG029","Anti RE","หลอด","170","58"," "," "
"DG030","BK 1","หลอด","190","34"," "," "
"DG031","BK 1 N","หลอด","190","36"," "," "
"DG032","BK 2","หลอด","330","26"," "," "
"DG033","CM Sol","ขวด","90","44"," "," "
"DG034","CR Gel","หลอด","130","25"," "," "
"DG035","Deep Face Cleaing ","ขวด","210","0"," "," "
"DG036","DNA lift","หลอด","620","16"," "," "
"DG037","DSA","ขวด","170","18"," "," "
"DG038","Duac","หลอด","190","93"," "," "
"DG039","Duowhite","หลอด","210","43"," "," "
"DG040","FS","ขวด","160","23"," "," "
"DG041","Gluta/Grace C","กระปุก","790","0"," "," "
"DG042","HRA","หลอด","120","56"," "," "
"DG044","Ketotap / Nizoral Tab","เม็ด","13","272"," "," "
"DG045","KM1","หลอด","190","32"," "," "
"DG046","kp","ขวด","210","8"," "," "
"DG047","KQ","หลอด","300","27"," "," "
"DG048","KZPShampoo Nizoral","ขวด","110","7"," "," "
"DG049","Laser gel/ L gel","หลอด","170","77"," "," "
"DG050","Magic Eye","กระปุก","320","6"," "," "
"DG051","Magic White / MGW","กระปุก","530","0"," "," "
"DG052","MCH","หลอด","270","39"," "," "
"DG053","MCP","กระปุก","420","47"," "," "
"DG054","MD 4%","ขวด","210","2"," "," "
"DG055","MD 5%","ขวด","270","10"," "," "
"DG056","Mela Block","หลอด","320","0"," "," "
"DRG1","melablock 2","หลอด","400","2"," "," "
"DG057","MF / BF","หลอด","310","22"," "," "
"DG058","Miracle White","กระปุก","940","1"," "," "
"DG059","OMG","ขวด","250","26"," "," "
"DG060","OSIS / Perfect Neck Cream","กระปุก","620","28"," "," "
"DG068","PD smooth","หลอด","160","7"," "," "
"DG061","PD wash","ขวด","190","13"," "," "
"DG062","PIS (Isotacrin)","หลอด","170","28"," "," "
"DG063","PRA","หลอด","130","44"," "," "
"DG064","ProAW","กระปุก","170","0"," "," "
"DG065","RCS / RCH","หลอด","170","0"," "," "
"DG066","RFF","ขวด","410","15"," "," "
"DG067","RP2","หลอด","170","0"," "," "
"DG071","SB 40","ขวด","580","6"," "," "
"DG069","SB 50","หลอด","740","13"," "," "
"DG070","SB 60","หลอด","270","80"," "," "
"DG072","SB80","ขวด","340","80"," "," "
"DG073","SBOF","ขวด","170","4"," "," "
"DRG187","skin thory essence 80 ml.","ขวด","1800","0"," "," "
"DG074","stm (revital stem life F)","ขวด","1400","0"," "," "
"DG075","TA Lotion","ขวด","66","33"," "," "
"DG076","Tar Shampoo","ขวด","100","1"," "," "
